iter	Logloss
0	0.6742147113
1	0.6570366847
2	0.6416520818
3	0.6285948305
4	0.6165530961
5	0.6055020077
6	0.5958013403
7	0.5871281951
8	0.579226218
9	0.5722008458
10	0.5663545277
11	0.5603557622
12	0.5551558609
13	0.5505483523
14	0.5466058964
15	0.5427259107
16	0.5392864361
17	0.5363992356
18	0.5337591383
19	0.5311663398
20	0.5287621731
21	0.5264257557
22	0.5244960041
23	0.5228293359
24	0.5212410974
25	0.5195343607
26	0.5178905361
27	0.5164575226
28	0.5152596569
29	0.5140317572
30	0.5129636811
31	0.5121029987
32	0.5113206696
33	0.5105728901
34	0.5099377457
35	0.5093016489
36	0.5085328057
37	0.5078087099
38	0.5072469601
39	0.5065400573
40	0.5060815694
41	0.5055636793
42	0.505094722
43	0.5046224466
44	0.5042330343
45	0.5038915656
46	0.5035513319
47	0.503160816
48	0.5027061716
49	0.5023463918
50	0.502027211
51	0.5017020348
52	0.5013738094
53	0.5010712894
54	0.5008213262
55	0.50054499
56	0.5001627595
57	0.4998300995
58	0.4995080618
59	0.4992664858
60	0.4990504183
61	0.4987988113
62	0.4986291734
63	0.4983638273
64	0.4980091312
65	0.4977457077
66	0.4975153148
67	0.4973051514
68	0.4970741626
69	0.4968951835
70	0.4967410895
71	0.4965765719
72	0.4964408821
73	0.4962734844
74	0.4960307384
75	0.4958630201
76	0.4957101292
77	0.4954927582
78	0.4953768081
79	0.4951259096
80	0.4949736248
81	0.494736057
82	0.494579397
83	0.4944171603
84	0.4941934435
85	0.4940358624
86	0.4938936398
87	0.4937126325
88	0.4935348742
89	0.4933966481
90	0.4932810134
91	0.4931729978
92	0.4930339807
93	0.4928513719
94	0.4927585646
95	0.4926423545
96	0.4925287452
97	0.4924224118
98	0.4923004544
99	0.4921855773
100	0.4920935895
101	0.4919301012
102	0.4917793146
103	0.4916982473
104	0.4916427923
105	0.4915774249
106	0.4914608505
107	0.491379914
108	0.4912730645
109	0.4912134773
110	0.4910918945
111	0.4910628767
112	0.4909940978
113	0.4909203429
114	0.4908016022
115	0.4907155824
116	0.4906307736
117	0.4905463739
118	0.4904654087
119	0.4903574451
120	0.4902568068
121	0.4901962451
122	0.4900910625
123	0.4900029146
124	0.4898728716
125	0.4898043241
126	0.4896933886
127	0.4896031553
128	0.4894882119
129	0.489401843
130	0.4893408575
131	0.489275067
132	0.4891626027
133	0.4891177624
134	0.4890600016
135	0.4889474337
136	0.4888554088
137	0.4888045652
138	0.4887187287
139	0.488656908
140	0.4885781888
141	0.4884940875
142	0.4884307857
143	0.4883628912
144	0.4883441028
145	0.4883017935
146	0.488231767
147	0.4881961134
148	0.4881450975
149	0.4880060241
150	0.4879183774
151	0.4878416059
152	0.487784638
153	0.4877113401
154	0.4876716495
155	0.4875934103
156	0.4875266355
157	0.4874662249
158	0.4873859144
159	0.4873139893
160	0.4872548802
161	0.4872479546
162	0.4871715798
163	0.4871237431
164	0.4870540895
165	0.4870067127
166	0.4869506377
167	0.4869108627
168	0.4868690696
169	0.4868249175
170	0.4867819099
171	0.486733697
172	0.4866618918
173	0.486547928
174	0.4865049076
175	0.4864629124
176	0.4863853106
177	0.4862941345
178	0.4862208191
179	0.4861474217
180	0.4860991315
181	0.4860490143
182	0.4859953109
183	0.48592424
184	0.4858753492
185	0.485840467
186	0.4857876743
187	0.4857539622
188	0.4857071478
189	0.4856502814
190	0.4856077388
191	0.4855449779
192	0.4854876578
193	0.485452416
194	0.4853925474
195	0.4853861892
196	0.485373522
197	0.4853162486
198	0.4852903401
199	0.4852237409
200	0.4851517953
201	0.4851033868
202	0.4850374927
203	0.4849667412
204	0.4848907899
205	0.484862404
206	0.4848187191
207	0.4847450746
208	0.4846985055
209	0.4846570452
210	0.484612232
211	0.4845507862
212	0.4844823578
213	0.4844319573
214	0.4843831022
215	0.4843140121
216	0.484265154
217	0.4842025638
218	0.4841523711
219	0.4840701066
220	0.4840295561
221	0.4839803847
222	0.4839588875
223	0.4839059201
224	0.4838480942
225	0.4837884743
226	0.483753693
227	0.4837086163
228	0.4836280757
229	0.4835806671
230	0.4834847815
231	0.4834331912
232	0.4833728191
233	0.4833360973
234	0.4832857074
235	0.4832445249
236	0.4831911555
237	0.4830932888
238	0.4830466167
239	0.4829641647
240	0.4829162219
241	0.4828012032
242	0.4827428609
243	0.482668293
244	0.4826271139
245	0.4825263029
246	0.4824689813
247	0.4824028906
248	0.4823586214
249	0.4823055243
250	0.4822476218
251	0.4821956704
252	0.482127011
253	0.4820588457
254	0.4819796165
255	0.481930628
256	0.4818665058
257	0.4817994035
258	0.4817247104
259	0.4816979885
260	0.4816222065
261	0.4815734997
262	0.4815183761
263	0.4814416591
264	0.4813920412
265	0.4813262901
266	0.4812668521
267	0.4811676323
268	0.4811124446
269	0.4810539612
270	0.4809802344
271	0.4809220873
272	0.4808301234
273	0.480794711
274	0.4807089119
275	0.4806527883
276	0.4805700441
277	0.480471354
278	0.4803915549
279	0.4802865633
280	0.4801848717
281	0.4800995793
282	0.48004703
283	0.4799864044
284	0.4799136179
285	0.4798547213
286	0.4797593461
287	0.4796978193
288	0.4796159701
289	0.4795318236
290	0.4794595929
291	0.4794034385
292	0.4793271679
293	0.4792491955
294	0.4791902157
295	0.4791269741
296	0.4790656778
297	0.4790127302
298	0.4789394973
299	0.4788817569
300	0.478797555
301	0.4787198663
302	0.4786389783
303	0.4785711085
304	0.4784871499
305	0.4784374367
306	0.478380201
307	0.4783208574
308	0.4782640783
309	0.4781681576
310	0.4780880863
311	0.4780206049
312	0.4779541379
313	0.4778906385
314	0.477812062
315	0.4777293578
316	0.4776504772
317	0.477583407
318	0.4775159129
319	0.4774425749
320	0.4773695448
321	0.4772966211
322	0.477237127
323	0.4771713598
324	0.4771173019
325	0.4770386874
326	0.4769919159
327	0.4769283952
328	0.4768659642
329	0.476788633
330	0.4767380136
331	0.476659339
332	0.4765996436
333	0.4765174594
334	0.4764569455
335	0.4763842267
336	0.4763057871
337	0.4762167258
338	0.4761508746
339	0.4760897504
340	0.4760258784
341	0.4759485666
342	0.4759070354
343	0.475842313
344	0.4757857287
345	0.475711212
346	0.4756690464
347	0.4756047627
348	0.4755432667
349	0.4754824215
350	0.4754256018
351	0.4753551024
352	0.4752860644
353	0.4752384098
354	0.4751747322
355	0.4751245244
356	0.4750503595
