iter	Passed	Remaining
0	381	342668
1	560	251747
2	744	222724
3	952	213316
4	1135	203173
5	1307	194818
6	1496	190882
7	1669	186108
8	1845	182717
9	2042	181787
10	2207	178432
11	2403	177829
12	2575	175706
13	2749	173977
14	2927	172720
15	3105	171556
16	3288	170790
17	3471	170082
18	3660	169743
19	3852	169525
20	4031	168730
21	4203	167751
22	4379	167009
23	4544	165876
24	4715	165032
25	4890	164405
26	5067	163840
27	5242	163279
28	5422	162855
29	5596	162291
30	5779	162021
31	5956	161576
32	6149	161572
33	6326	161127
34	6518	161111
35	6684	160421
36	6863	160085
37	7033	159557
38	7221	159426
39	7410	159327
40	7582	158859
41	7767	158683
42	7937	158204
43	8139	158344
44	8311	157909
45	8473	157321
46	8650	156990
47	8821	156581
48	9009	156474
49	9181	156089
50	9361	155839
51	9552	155772
52	9738	155627
53	9909	155241
54	10075	154800
55	10264	154698
56	10449	154541
57	10637	154433
58	10810	154097
59	10976	153673
60	11151	153376
61	11331	153164
62	11521	153073
63	11721	153106
64	11890	152751
65	12064	152448
66	12249	152296
67	12435	152155
68	12624	152046
69	12804	151828
70	12993	151718
71	13167	151429
72	13344	151171
73	13516	150877
74	13701	150718
75	13882	150517
76	14051	150192
77	14233	150000
78	14408	149739
79	14599	149640
80	14763	149279
81	14932	148955
82	15114	148774
83	15291	148544
84	15471	148348
85	15661	148242
86	15832	147950
87	16002	147657
88	16167	147323
89	16350	147156
90	16534	146992
91	16712	146780
92	16898	146637
93	17081	146467
94	17255	146216
95	17436	146030
96	17613	145807
97	17797	145648
98	17969	145390
99	18149	145198
100	18329	145000
101	18493	144687
102	18672	144486
103	18840	144205
104	19017	143986
105	19187	143721
106	19370	143562
107	19559	143438
108	19743	143279
109	19883	142799
110	20073	142685
111	20159	141835
112	20343	141686
113	20503	141367
114	20681	141173
115	20852	140933
116	21029	140733
117	21211	140573
118	21397	140431
119	21574	140236
120	21753	140046
121	21961	140050
122	22139	139858
123	22314	139642
124	22485	139407
125	22661	139203
126	22847	139064
127	23027	138881
128	23199	138655
129	23372	138439
130	23539	138183
131	23723	138027
132	23912	137899
133	24092	137723
134	24276	137567
135	24446	137329
136	24639	137227
137	24822	137061
138	24997	136858
139	25180	136695
140	25363	136529
141	25542	136349
142	25725	136183
143	25915	136056
144	26000	135384
145	26183	135221
146	26352	134989
147	26495	134623
148	26669	134422
149	26850	134251
150	27033	134093
151	27210	133902
152	27404	133798
153	27591	133655
154	27750	133382
155	27930	133207
156	28096	132965
157	28280	132809
158	28490	132775
159	28656	132536
160	28848	132414
161	28907	131691
162	29075	131463
